GeoFIPS.x,GeoName,Region.x,TableName,LineCode,IndustryClassification.x,Description,Unit,2017,2018,2019,2020,2021,2022,GeoFIPS.y,Region.y,ComponentId,ComponentName,IndustryId,IndustryClassification.y,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
01000,Alabama,5,SAGDP2N,1,...,All industry total,Millions of current dollars,216615.5,226263.8,234526.4,235118.3,257986.5,281569,01000,5,200,Gross domestic product (GDP) by state,1,...,104218,109414,115015,119020,122822,127873,134388,146989,156750,164468,169923,172646,168315,174710,180665,185878,190095,194421,199656
01000,Alabama,5,SAGDP2N,2,...,Private industries,Millions of current dollars,180865.6,189449.6,196481.4,195521.6,216870,238043.3,01000,5,200,Gross domestic product (GDP) by state,2,...,87014,91506,96284,99665,102978,106580,111717,123016,131370,137954,141306,142965,137143,142773,148181,153494,157961,161364,166243
01000,Alabama,5,SAGDP2N,4,111-112,Farms,Millions of current dollars,1802.7,1811.6,1368.6,881.9,2225,2653,01000,5,200,Gross domestic product (GDP) by state,4,111-112,1365,1435,1491,1319,1595,1201,1802,2406,2140,1557,1369,1490,1672,1716,1254,1453,2787,2271,(NA)
01000,Alabama,5,SAGDP2N,5,113-115,"Forestry, fishing, and related activities",Millions of current dollars,627.7,672.9,695.1,737.1,685,684.3,01000,5,200,Gross domestic product (GDP) by state,5,113-115,451,418,416,415,394,382,399,502,506,575,529,490,494,561,559,599,591,638,(NA)
01000,Alabama,5,SAGDP2N,7,211,Oil and gas extraction,Millions of current dollars,433.8,380.9,267.2,147.4,322,450.1,01000,5,200,Gross domestic product (GDP) by state,7,211,284,217,237,405,526,447,758,962,1531,1661,1932,2245,1086,939,969,832,871,795,(NA)
01000,Alabama,5,SAGDP2N,9,213,Support activities for mining,Millions of current dollars,86,102.9,95.3,86.2,84.7,93.4,01000,5,200,Gross domestic product (GDP) by state,9,213,129,144,103,79,85,64,60,69,86,120,125,126,87,95,99,111,112,116,(NA)
01000,Alabama,5,SAGDP2N,10,22,Utilities,Millions of current dollars,6156.8,6208.6,6539.5,6594.6,7406.2,8377.5,01000,5,200,Gross domestic product (GDP) by state,10,22,3075,3009,3330,3415,3588,3469,3653,3956,3857,4419,4607,4672,4954,5398,5534,5109,5034,5326,5360
01000,Alabama,5,SAGDP2N,11,23,Construction,Millions of current dollars,8824.8,9463.1,10605.6,11034.8,11874.4,12879.7,01000,5,200,Gross domestic product (GDP) by state,11,23,4632,5357,5751,6092,6226,6224,6472,6871,7756,8484,9160,8486,7587,7071,6927,7256,7104,7083,7221
01000,Alabama,5,SAGDP2N,12,31-33,Manufacturing,Millions of current dollars,35501.4,37798.9,37519.4,35129.9,37606.1,43861.3,01000,5,200,Gross domestic product (GDP) by state,12,31-33,19700,20629,21516,21751,21238,21354,21957,26582,28233,29728,29264,28947,25386,27595,31021,32625,34416,34343,35156
01000,Alabama,5,SAGDP2N,13,"321,327-339",Durable goods manufacturing,Millions of current dollars,22815.6,24322.3,25001.6,23442.4,24409.8,28456.8,01000,5,200,Gross domestic product (GDP) by state,13,...,10088,11102,12149,11635,11246,11841,12134,15109,17146,18332,17878,18354,13613,15945,17425,19040,20329,20301,21201
01000,Alabama,5,SAGDP2N,18,333,Machinery manufacturing,Millions of current dollars,951.3,1011.5,943.8,835.6,955.3,1169.6,01000,5,200,Gross domestic product (GDP) by state,18,333,692,919,966,968,852,698,497,783,981,1081,1069,1032,965,912,1082,1127,1101,975,(NA)
01000,Alabama,5,SAGDP2N,21,3361-3363,"Motor vehicles, bodies and trailers, and parts manufacturing",Millions of current dollars,6520.2,6648.9,7109.7,5541,5006.4,5908.5,01000,5,200,Gross domestic product (GDP) by state,21,3361-3363,876,1410,1625,1876,1949,2354,2848,3443,3842,3968,3683,3230,1474,3218,4420,5176,6104,5945,(NA)
01000,Alabama,5,SAGDP2N,22,"3364-3466,3369",Other transportation equipment manufacturing,Millions of current dollars,3434.2,3735.4,3794.5,3745.4,4090.3,4887.6,01000,5,200,Gross domestic product (GDP) by state,22,"3364-3366, 3369",652,802,1042,1017,1195,1223,1194,1429,1922,2102,2257,2490,2581,2930,2299,2266,2657,2524,(NA)
01000,Alabama,5,SAGDP2N,24,339,Miscellaneous manufacturing,Millions of current dollars,510.9,546.4,571.1,676.3,749.1,794.8,01000,5,200,Gross domestic product (GDP) by state,24,339,416,399,416,409,372,390,347,403,450,462,455,487,446,503,424,514,456,495,(NA)
01000,Alabama,5,SAGDP2N,25,"311-316,322-326",Nondurable goods manufacturing,Millions of current dollars,12685.8,13476.6,12517.8,11687.5,13196.3,15404.4,01000,5,200,Gross domestic product (GDP) by state,25,...,9612,9527,9367,10116,9992,9513,9823,11473,11087,11396,11386,10593,11773,11650,13597,13584,14086,14043,13955
01000,Alabama,5,SAGDP2N,27,313-314,Textile mills and textile product mills,Millions of current dollars,557.5,564.9,525.6,582.4,567.2,562.8,01000,5,200,Gross domestic product (GDP) by state,27,313-314,1489,1539,1495,1521,1509,1447,1006,1403,1141,920,860,649,465,517,459,594,706,662,(NA)
01000,Alabama,5,SAGDP2N,30,323,Printing and related support activities,Millions of current dollars,221.1,206,221.3,246.8,231.4,248.4,01000,5,200,Gross domestic product (GDP) by state,30,323,323,325,346,345,338,373,363,330,303,298,268,253,204,165,152,181,219,209,(NA)
01000,Alabama,5,SAGDP2N,31,324,Petroleum and coal products manufacturing,Millions of current dollars,1244.2,1795.7,1576.3,790.2,1442.5,2262.7,01000,5,200,Gross domestic product (GDP) by state,31,324,404,437,285,398,379,484,685,1210,1440,1059,1266,1122,944,973,3436,2909,2715,2169,(NA)
01000,Alabama,5,SAGDP2N,33,326,Plastics and rubber products manufacturing,Millions of current dollars,1490.1,1642.4,1665.2,1360.1,1353.5,1578.3,01000,5,200,Gross domestic product (GDP) by state,33,326,1143,1125,1083,1013,1075,1039,1016,926,948,1016,1088,974,1265,1188,1233,1278,1415,1354,(NA)
01000,Alabama,5,SAGDP2N,34,42,Wholesale trade,Millions of current dollars,12582.8,13091.5,13748.3,14260.2,16002.6,17276.6,01000,5,200,Gross domestic product (GDP) by state,34,42,6672,7103,7214,7562,7361,7335,7633,8303,9140,9732,9990,10374,9799,10038,10180,10361,10817,11095,11529
01000,Alabama,5,SAGDP2N,35,44-45,Retail trade,Millions of current dollars,15286.2,15798.3,16630.6,18055.8,20244.3,21319.4,01000,5,200,Gross domestic product (GDP) by state,35,44-45,9001,9456,9686,9758,9487,9869,10414,10869,11923,12459,12487,12132,11862,12145,12357,12791,13094,13921,14364
01000,Alabama,5,SAGDP2N,36,48-49,Transportation and warehousing,Millions of current dollars,6050.6,6636.6,6559.8,6465.4,7797.9,8910.1,01000,5,200,Gross domestic product (GDP) by state,36,48-49,2769,3203,3244,3391,3257,3256,3428,3816,4166,4507,4508,4706,4387,4729,4995,4960,5056,5153,5267
01000,Alabama,5,SAGDP2N,37,481,Air transportation,Millions of current dollars,177.1,215.1,214.2,108.9,153.1,248.5,01000,5,200,Gross domestic product (GDP) by state,37,481,56,63,71,75,50,63,68,69,93,98,104,103,91,134,131,120,108,129,(NA)
01000,Alabama,5,SAGDP2N,38,482,Rail transportation,Millions of current dollars,725.3,759,748,694.4,756.1,858.3,01000,5,200,Gross domestic product (GDP) by state,38,482,343,370,374,402,381,367,399,441,487,549,556,626,565,602,641,723,740,777,(NA)
01000,Alabama,5,SAGDP2N,39,483,Water transportation,Millions of current dollars,104.5,86.1,80.1,87.6,102.2,132.9,01000,5,200,Gross domestic product (GDP) by state,39,483,44,55,50,71,60,51,84,106,106,149,253,383,352,401,350,287,274,251,(NA)
01000,Alabama,5,SAGDP2N,40,484,Truck transportation,Millions of current dollars,2687.8,2965.7,2965,2893.8,3355.9,3961.2,01000,5,200,Gross domestic product (GDP) by state,40,484,1486,1685,1790,1823,1731,1714,1785,1940,2090,2250,2121,2000,1768,1879,1922,1934,1945,2063,(NA)
01000,Alabama,5,SAGDP2N,41,485,Transit and ground passenger transportation,Millions of current dollars,94.8,91.8,95,70,84.1,99.6,01000,5,200,Gross domestic product (GDP) by state,41,485,37,55,63,63,56,60,65,72,71,77,82,90,92,102,101,98,95,95,(NA)
01000,Alabama,5,SAGDP2N,42,486,Pipeline transportation,Millions of current dollars,336.6,444.3,231.7,232.6,279.8,296.8,01000,5,200,Gross domestic product (GDP) by state,42,486,47,79,84,59,66,70,72,74,82,97,112,139,179,209,370,247,258,108,(NA)
01000,Alabama,5,SAGDP2N,43,"487-488,492",Other transportation and support activities,Millions of current dollars,1241.5,1335.2,1443.4,1588.5,1840,2030.2,01000,5,200,Gross domestic product (GDP) by state,43,"487-488, 492",504,636,560,625,654,680,679,800,852,904,873,924,879,925,969,946,996,1028,(NA)
01000,Alabama,5,SAGDP2N,44,493,Warehousing and storage,Millions of current dollars,683,739.3,782.4,789.7,1226.5,1282.6,01000,5,200,Gross domestic product (GDP) by state,44,493,251,262,252,272,260,251,276,313,385,382,406,440,461,477,512,606,640,701,(NA)
01000,Alabama,5,SAGDP2N,45,51,Information,Millions of current dollars,4381.3,4478.9,5011.2,4937.2,5492.6,5889.7,01000,5,200,Gross domestic product (GDP) by state,45,51,3576,3569,3711,3649,4262,4594,4455,4852,5212,5214,5039,5076,4694,4505,4328,4156,4289,4356,4380
01000,Alabama,5,SAGDP2N,47,512,Motion picture and sound recording industries,Millions of current dollars,118.7,116.4,170.7,114.6,157.1,166,01000,5,200,Gross domestic product (GDP) by state,47,512,62,87,120,86,135,132,125,124,104,116,126,141,131,130,111,103,92,115,(NA)
01000,Alabama,5,SAGDP2N,50,"52,53","Finance, insurance, real estate, rental, and leasing",Millions of current dollars,36746.2,38264.4,40099.8,40934.3,45080.5,47506.1,01000,5,200,Gross domestic product (GDP) by state,50,"52, 53",14623,14633,16228,17451,19845,21725,22282,23079,23853,24376,25366,25238,25279,26307,27283,29522,29401,30650,31999
01000,Alabama,5,SAGDP2N,51,52,Finance and insurance,Millions of current dollars,12207.1,12839.6,13138,13331.8,15060,15122.4,01000,5,200,Gross domestic product (GDP) by state,51,52,4653,4357,5008,5573,6825,7982,8775,9068,9531,9234,8949,7903,7495,7706,7610,9473,9178,10110,10497
